id,name,geometry,elevation_m,distance_to_coastline_m
423481112,Rickenbacker Causeway,"{""type"": ""LineString"", ""coordinates"": [[-80.1744569, 25.7446028], [-80.175258, 25.7453097], [-80.175365, 25.7454028], [-80.1754805, 25.7455003], [-80.1755981, 25.7455954], [-80.1757232, 25.7456912], [-80.1758505, 25.7457809], [-80.1760048, 25.745881], [-80.1761396, 25.7459622], [-80.176292, 25.7460456], [-80.1764437, 25.7461205], [-80.1765823, 25.7461831], [-80.1767173, 25.746239], [-80.1768821, 25.7463034], [-80.1770286, 25.7463573], [-80.1771703, 25.7464006], [-80.1773231, 25.7464401], [-80.1774857, 25.7464782], [-80.1776457, 25.7465093], [-80.1778006, 25.7465331], [-80.1779569, 25.7465534], [-80.1780912, 25.7465679], [-80.1782303, 25.7465769], [-80.178366, 25.7465812], [-80.1785175, 25.7465826], [-80.1789398, 25.7465785]]}",8.0,38.931810175158816
11106958,,"{""type"": ""LineString"", ""coordinates"": [[-80.1654762, 25.7363134], [-80.1655829, 25.736226]]}",8.0,80.05674396834331
11112919,,"{""type"": ""LineString"", ""coordinates"": [[-80.1641949, 25.7351638], [-80.1642942, 25.7350796], [-80.1648675, 25.7345614]]}",8.0,146.61951561570578
85470193,Rickenbacker Causeway,"{""type"": ""LineString"", ""coordinates"": [[-80.1670386, 25.7377176], [-80.1668102, 25.7375178], [-80.1659717, 25.7367607]]}",7.0,83.30903073789113
117933923,,"{""type"": ""LineString"", ""coordinates"": [[-80.1680423, 25.7382012], [-80.1680191, 25.7381291], [-80.16798, 25.738071], [-80.1679243, 25.7379861], [-80.1678856, 25.7379267], [-80.1678508, 25.7378759], [-80.167818, 25.7378276], [-80.1677854, 25.7377844], [-80.1677302, 25.7377233], [-80.1676715, 25.7376653], [-80.1675805, 25.737576], [-80.1675418, 25.7375317], [-80.1674947, 25.737471], [-80.1673581, 25.7374434]]}",7.0,26.30541569737064
117933926,,"{""type"": ""LineString"", ""coordinates"": [[-80.1647639, 25.734469], [-80.164231, 25.7349564], [-80.1641939, 25.7349903], [-80.1640961, 25.7350766]]}",8.0,155.47637730095087
117933933,,"{""type"": ""LineString"", ""coordinates"": [[-80.1673581, 25.7374434], [-80.1671829, 25.7375938], [-80.1671262, 25.7376424], [-80.1670386, 25.7377176]]}",7.0,71.72612771129522
117933936,,"{""type"": ""LineString"", ""coordinates"": [[-80.1673581, 25.7374434], [-80.1674475, 25.7375172], [-80.1674874, 25.7375623], [-80.1675229, 25.7376071]]}",7.0,39.084941516765156
117933937,,"{""type"": ""LineString"", ""coordinates"": [[-80.1661534, 25.7357081], [-80.1662085, 25.7359238], [-80.1662695, 25.7361224], [-80.1663384, 25.7363057], [-80.1663921, 25.7363939], [-80.1664351, 25.7364393]]}",8.0,22.570703252571818
117933953,,"{""type"": ""LineString"", ""coordinates"": [[-80.1673581, 25.7374434], [-80.1672847, 25.7373704], [-80.1672233, 25.7373086]]}",0.0,39.496692632369424
117933965,,"{""type"": ""LineString"", ""coordinates"": [[-80.1672233, 25.7373086], [-80.1671761, 25.7371292], [-80.166639, 25.7366043], [-80.1665853, 25.7365831], [-80.1665349, 25.7365878], [-80.1664799, 25.736635], [-80.1664667, 25.7366852], [-80.1664848, 25.7367347], [-80.1670145, 25.737259], [-80.1672233, 25.7373086]]}",8.0,31.75704133724491
117934653,,"{""type"": ""LineString"", ""coordinates"": [[-80.1659019, 25.7364476], [-80.1662695, 25.7361224]]}",8.0,16.6437906125632
117934654,,"{""type"": ""LineString"", ""coordinates"": [[-80.1663384, 25.7363057], [-80.1660424, 25.7365787]]}",8.0,64.27186223521416
117934655,,"{""type"": ""LineString"", ""coordinates"": [[-80.1662085, 25.7359238], [-80.165772, 25.7363282], [-80.1659019, 25.7364476], [-80.1660424, 25.7365787], [-80.1661696, 25.7366894]]}",8.0,67.55580515514717
117934656,,"{""type"": ""LineString"", ""coordinates"": [[-80.1661696, 25.7366894], [-80.1664351, 25.7364393]]}",8.0,23.057269358536175
117934822,,"{""type"": ""LineString"", ""coordinates"": [[-80.165491, 25.7360715], [-80.1653591, 25.735953], [-80.1652278, 25.7358357], [-80.165102, 25.7357262], [-80.1649721, 25.7356106], [-80.1648435, 25.735494], [-80.1647122, 25.7353773], [-80.1645796, 25.7352605], [-80.1644402, 25.7351365]]}",8.0,105.27278148179794
117934823,,"{""type"": ""LineString"", ""coordinates"": [[-80.1655008, 25.7351109], [-80.1649721, 25.7356106]]}",8.0,105.27278148179794
117934824,,"{""type"": ""LineString"", ""coordinates"": [[-80.165102, 25.7357262], [-80.1656381, 25.7352336]]}",9.0,27.66685913007623
117934825,,"{""type"": ""LineString"", ""coordinates"": [[-80.1645796, 25.7352605], [-80.1651108, 25.7347748]]}",9.0,63.19373933692555
117934827,,"{""type"": ""LineString"", ""coordinates"": [[-80.1653591, 25.735953], [-80.1658953, 25.7354681]]}",8.0,34.53360567984975
117934828,,"{""type"": ""LineString"", ""coordinates"": [[-80.1657627, 25.7353448], [-80.1652278, 25.7358357]]}",8.0,100.42284143046939
117934829,,"{""type"": ""LineString"", ""coordinates"": [[-80.1648435, 25.735494], [-80.1653734, 25.7349948]]}",9.0,38.09529933777212
117934830,,"{""type"": ""LineString"", ""coordinates"": [[-80.1649728, 25.734654], [-80.1644402, 25.7351365]]}",8.0,132.980997207249
117934831,,"{""type"": ""LineString"", ""coordinates"": [[-80.166018, 25.7355801], [-80.165491, 25.7360715]]}",8.0,81.66708780914321
117934832,,"{""type"": ""LineString"", ""coordinates"": [[-80.1652428, 25.7348851], [-80.1647122, 25.7353773]]}",9.0,114.43197034879269
118004083,,"{""type"": ""LineString"", ""coordinates"": [[-80.1642805, 25.7340122], [-80.1637314, 25.7345093]]}",8.0,203.51537626132458
118004084,,"{""type"": ""LineString"", ""coordinates"": [[-80.1645297, 25.7342448], [-80.1639879, 25.7347401]]}",8.0,175.84999612971822
118004085,,"{""type"": ""LineString"", ""coordinates"": [[-80.1641231, 25.7348609], [-80.1646595, 25.7343692]]}",9.0,115.16425607762783
118004087,,"{""type"": ""LineString"", ""coordinates"": [[-80.1638618, 25.7346267], [-80.1644029, 25.7341235]]}",8.0,148.69887492216816
118005717,,"{""type"": ""LineString"", ""coordinates"": [[-80.1658529, 25.7328255], [-80.165885, 25.732805]]}",9.0,108.58703143363047
118005718,,"{""type"": ""LineString"", ""coordinates"": [[-80.1651143, 25.7329052], [-80.1650745, 25.7328634]]}",9.0,170.25255481761704
118005719,,"{""type"": ""LineString"", ""coordinates"": [[-80.1650088, 25.7340817], [-80.1650343, 25.7341143], [-80.1652636, 25.7340394], [-80.1654125, 25.7340165], [-80.165506, 25.7339777], [-80.1655845, 25.7339321]]}",9.0,70.81069025955593
118005720,,"{""type"": ""LineString"", ""coordinates"": [[-80.1656651, 25.7337662], [-80.1654862, 25.7335115], [-80.1655372, 25.7334741], [-80.1655868, 25.7334149], [-80.1656512, 25.7333206], [-80.1656632, 25.7332216], [-80.1657571, 25.733224], [-80.1657732, 25.7331877], [-80.1658121, 25.7331515], [-80.1658604, 25.7331322], [-80.1659261, 25.7331273], [-80.1659838, 25.7331032], [-80.1660414, 25.7330372]]}",9.0,133.88757244274342
118005721,,"{""type"": ""LineString"", ""coordinates"": [[-80.1649377, 25.7340564], [-80.1650088, 25.7340817], [-80.1651563, 25.7336976], [-80.1650906, 25.7336045]]}",9.0,114.34015384355871
118005723,,"{""type"": ""LineString"", ""coordinates"": [[-80.1655494, 25.7331213], [-80.1654963, 25.7330307]]}",9.0,154.88844126198802
118005724,,"{""type"": ""LineString"", ""coordinates"": [[-80.1650057, 25.7341782], [-80.1649011, 25.7341393]]}",9.0,102.72775672076303
118005726,,"{""type"": ""LineString"", ""coordinates"": [[-80.1656796, 25.7330463], [-80.1656847, 25.7330995], [-80.1657263, 25.7331551], [-80.1657732, 25.7331877]]}",9.0,139.21974977845517
118005731,,"{""type"": ""LineString"", ""coordinates"": [[-80.1654883, 25.7343634], [-80.1653856, 25.7342799], [-80.1653146, 25.7341868], [-80.1652824, 25.7341156], [-80.1652636, 25.7340394], [-80.1652555, 25.7339488], [-80.1652555, 25.7338534], [-80.1652488, 25.7338075], [-80.1652032, 25.733764], [-80.1651563, 25.7336976]]}",9.0,87.01147282659295
118005739,,"{""type"": ""LineString"", ""coordinates"": [[-80.1647639, 25.734469], [-80.1648707, 25.7342083], [-80.1649011, 25.7341393], [-80.1649377, 25.7340564]]}",9.0,102.72775672076303
118005740,,"{""type"": ""LineString"", ""coordinates"": [[-80.1650057, 25.7341782], [-80.1650758, 25.7342497], [-80.1651201, 25.7342871], [-80.1651965, 25.7343137], [-80.1652529, 25.7344031], [-80.1652944, 25.734455], [-80.1653553, 25.7345045]]}",9.0,67.38928573081935
118005747,,"{""type"": ""LineString"", ""coordinates"": [[-80.1660414, 25.7330372], [-80.1660495, 25.7329449], [-80.1660133, 25.7328628], [-80.1660985, 25.7328234]]}",9.0,100.57257178078257
118005751,,"{""type"": ""LineString"", ""coordinates"": [[-80.1650343, 25.7341143], [-80.1650057, 25.7341782], [-80.1649753, 25.734246], [-80.1648707, 25.7342083]]}",9.0,90.56645320173295
118005756,,"{""type"": ""LineString"", ""coordinates"": [[-80.1650021, 25.7329232], [-80.1650745, 25.7328634], [-80.1651295, 25.7328181], [-80.1650678, 25.7327963], [-80.1649888, 25.7327408]]}",9.0,163.4795451733095
118005758,,"{""type"": ""LineString"", ""coordinates"": [[-80.1651563, 25.7336976], [-80.165218, 25.7336468], [-80.1653011, 25.7335973], [-80.1654058, 25.7335635], [-80.1654862, 25.7335115]]}",9.0,114.35919714008635
118005762,,"{""type"": ""LineString"", ""coordinates"": [[-80.1659037, 25.7329173], [-80.1656796, 25.7330463], [-80.1655494, 25.7331213], [-80.1654913, 25.7331728]]}",9.0,151.17258798334456
118005769,,"{""type"": ""LineString"", ""coordinates"": [[-80.1649578, 25.7330911], [-80.1649109, 25.7332554], [-80.164923, 25.7333653], [-80.1649525, 25.7334487], [-80.1650302, 25.7335212]]}",9.0,157.6485754981176
118010758,Arthur Lamb Junior Road,"{""type"": ""LineString"", ""coordinates"": [[-80.1653157, 25.7364382], [-80.1654762, 25.7363134]]}",8.0,94.25396432044535
423480234,,"{""type"": ""LineString"", ""coordinates"": [[-80.1668522, 25.7378776], [-80.166783, 25.7378944], [-80.1666019, 25.7380666], [-80.1665215, 25.7381429], [-80.1665161, 25.7381973]]}",9.0,142.38891695490358
458055281,Rickenbacker Causeway,"{""type"": ""LineString"", ""coordinates"": [[-80.1680709, 25.738634], [-80.1672005, 25.7378614], [-80.1671649, 25.7378298], [-80.1670386, 25.7377176]]}",7.0,83.04460704429046
523036717,,"{""type"": ""LineString"", ""coordinates"": [[-80.1665161, 25.7381973], [-80.1665775, 25.7381903], [-80.1666561, 25.7381168], [-80.1668434, 25.7379418], [-80.1668522, 25.7378776]]}",9.0,142.19389014346376
523036718,,"{""type"": ""LineString"", ""coordinates"": [[-80.165054, 25.7365908], [-80.1652002, 25.7365733], [-80.1652466, 25.7365693], [-80.1652991, 25.7365691], [-80.1653504, 25.7365752], [-80.1655134, 25.7366147]]}",8.0,124.96361623974245
523036719,Arthur Lamb Jr Road,"{""type"": ""LineString"", ""coordinates"": [[-80.165054, 25.7365908], [-80.1651797, 25.7365345], [-80.165216, 25.7365182], [-80.1652517, 25.7365023], [-80.1653157, 25.7364382]]}",8.0,128.59334898005932
523036720,Arthur Lamb Jr Road,"{""type"": ""LineString"", ""coordinates"": [[-80.1646512, 25.7367258], [-80.1647181, 25.7367363], [-80.164824, 25.7366911], [-80.165054, 25.7365908]]}",8.0,172.0043957904895
523036721,,"{""type"": ""LineString"", ""coordinates"": [[-80.1674999, 25.7376154], [-80.1674771, 25.7376201], [-80.1674385, 25.737625], [-80.1674073, 25.7376316], [-80.1673802, 25.7376419], [-80.1673567, 25.7376579], [-80.1673007, 25.7377054]]}",7.0,50.22188383835203
523036723,,"{""type"": ""LineString"", ""coordinates"": [[-80.1670386, 25.7377176], [-80.1668906, 25.7378446]]}",7.0,104.35469433780122
523036729,Rickenbacker Trail,"{""type"": ""LineString"", ""coordinates"": [[-80.166955, 25.7380297], [-80.1669372, 25.7380488], [-80.1669349, 25.7380512], [-80.1669137, 25.7380713], [-80.1668746, 25.7381081], [-80.1668388, 25.7381366], [-80.1668194, 25.7381497], [-80.1668027, 25.7381582], [-80.1667835, 25.7381659], [-80.1667686, 25.7381702], [-80.1667554, 25.7381722], [-80.1667382, 25.7381721], [-80.166721, 25.7381692], [-80.1667029, 25.7381606], [-80.1666995, 25.7381578], [-80.1666854, 25.7381459]]}",7.0,134.84174248560214
