id,name,geometry
571356528,,"{""type"": ""LineString"", ""coordinates"": [[-80.0387955, 26.5951025], [-80.0379109, 26.595082], [-80.0372981, 26.5950678]]}"
571356529,,"{""type"": ""LineString"", ""coordinates"": [[-80.038501, 26.5958617], [-80.0370218, 26.5958137], [-80.0370486, 26.5953712]]}"
571356530,,"{""type"": ""LineString"", ""coordinates"": [[-80.0385132, 26.595683], [-80.0381523, 26.595677]]}"
571356531,,"{""type"": ""LineString"", ""coordinates"": [[-80.0385211, 26.5955655], [-80.0381376, 26.5955595]]}"
571356532,,"{""type"": ""LineString"", ""coordinates"": [[-80.0385211, 26.5955655], [-80.0385132, 26.595683], [-80.038501, 26.5958617]]}"
571356533,,"{""type"": ""LineString"", ""coordinates"": [[-80.0385382, 26.5952906], [-80.0370888, 26.5952309]]}"
571358540,,"{""type"": ""LineString"", ""coordinates"": [[-80.0381577, 26.5966788], [-80.0381617, 26.5965512], [-80.0384045, 26.5965608], [-80.0384179, 26.5960452], [-80.0381778, 26.5960344], [-80.0381617, 26.5965512]]}"
571358541,,"{""type"": ""LineString"", ""coordinates"": [[-80.0381577, 26.5966788], [-80.038155, 26.5968366], [-80.0384367, 26.596845]]}"
571358542,,"{""type"": ""LineString"", ""coordinates"": [[-80.0387038, 26.5966937], [-80.0381577, 26.5966788], [-80.037923, 26.5966723], [-80.0379042, 26.5972575]]}"
1065217012,,"{""type"": ""LineString"", ""coordinates"": [[-80.0387684, 26.5955724], [-80.0385211, 26.5955655]]}"
1156578385,,"{""type"": ""LineString"", ""coordinates"": [[-80.038501, 26.5958617], [-80.038751, 26.5958747]]}"
1173575733,,"{""type"": ""LineString"", ""coordinates"": [[-80.0387844, 26.5952957], [-80.038627, 26.5952925], [-80.0385382, 26.5952906], [-80.0385359, 26.5953281], [-80.0385211, 26.5955655]]}"
