date,max_observed_m,hours_above_threshold
2015-11-13,0.332,0
2015-11-14,0.3,0
2015-11-15,0.263,0
2015-11-16,0.012,0
2015-11-17,-0.151,0
2015-11-18,-0.226,0
2015-11-19,-0.193,0
2015-11-20,-0.013,0
2015-11-21,0.145,0
2015-11-22,0.382,0
2015-11-23,0.558,0
2015-11-24,0.698,2
2015-11-25,0.763,2
2015-11-26,0.711,2
2015-11-27,0.648,1
