id,name,elevation_m,distance_to_coastline_m,flood_onset_threshold_m,cii_max,inundation_depth_cm
1172637279,,8.0,572.0234409147114,8.57,0.0,0.0
1172637289,,8.0,512.3519356593995,8.57,0.0,0.0
1202878066,,4.0,75.70628949478204,4.57,0.0,0.0
1202878068,,4.0,60.0178465230995,4.57,0.0,0.0
1202878077,,6.0,235.455192965547,6.57,0.0,0.0
1202878080,,6.0,258.58224903726784,6.57,0.0,0.0
1203169819,,4.0,71.54065875639884,4.57,0.0,0.0
1203169828,,4.0,52.91166314154897,4.57,0.0,0.0
1203169833,,5.0,291.24547353132823,5.57,0.0,0.0
1221871708,Palm Avenue,8.0,317.8223687121692,8.57,0.0,0.0
1222298661,H Avenue,6.0,245.40073653837737,6.57,0.0,0.0
1271804712,,6.0,464.54614651776967,6.57,0.0,0.0
1271805886,,6.0,493.6859998106103,6.57,0.0,0.0
1357906203,,4.0,63.70231830271724,4.57,0.0,0.0
5948234,,3.0,343.3103379542376,3.5700000000000003,0.0,0.0
5948242,,5.0,273.4744318810472,5.57,0.0,0.0
5948248,,3.0,388.12505912785616,3.5700000000000003,0.0,0.0
5961065,Colorado Street,3.0,337.15420503585847,3.5700000000000003,0.0,0.0
366209091,,6.0,608.4986907010624,6.57,0.0,0.0
366209092,,3.0,487.3143357323152,3.5700000000000003,0.0,0.0
366209093,,6.0,620.9042437290223,6.57,0.0,0.0
366209094,,6.0,610.2978275317646,6.57,0.0,0.0
436434803,Quay Road,3.0,64.69648810334189,3.5700000000000003,0.0,0.0
436434804,Quay Road,3.0,65.09157270075187,3.5700000000000003,0.0,0.0
436434813,Colorado Street,5.0,291.02494705521855,5.57,0.0,0.0
436434814,Colorado Street,3.0,432.319711288941,3.5700000000000003,0.0,0.0
436434815,Colorado Street,3.0,390.29719400121286,3.5700000000000003,0.0,0.0
436434819,Stockdale Boulevard,3.0,445.193789240029,3.5700000000000003,0.0,0.0
436434821,Stockdale Boulevard,3.0,398.4690860729822,3.5700000000000003,0.0,0.0
436434822,Stockdale Boulevard,3.0,451.6137222435629,3.5700000000000003,0.0,0.0
436434823,Stockdale Boulevard,4.0,428.001253336482,4.57,0.0,0.0
436434824,Stockdale Boulevard,4.0,437.45247697579975,4.57,0.0,0.0
436434825,Stockdale Boulevard,3.0,397.4625178505668,3.5700000000000003,0.0,0.0
436434827,Stockdale Boulevard,4.0,429.95966570300806,4.57,0.0,0.0
436434828,Stockdale Boulevard,3.0,456.8548567107378,3.5700000000000003,0.0,0.0
566038590,,4.0,392.3272362249909,4.57,0.0,0.0
566038596,,4.0,394.9215728413856,4.57,0.0,0.0
566038597,,4.0,393.7891252481808,4.57,0.0,0.0
566038598,,3.0,384.0469270274202,3.5700000000000003,0.0,0.0
566038600,,3.0,376.12742262738686,3.5700000000000003,0.0,0.0
578135745,,5.0,283.5347266529969,5.57,0.0,0.0
578135746,,5.0,325.0296717482822,5.57,0.0,0.0
578135747,,5.0,292.1619166918285,5.57,0.0,0.0
578135748,,5.0,207.1170852738203,5.57,0.0,0.0
578135749,,5.0,214.14426028990405,5.57,0.0,0.0
578135750,,5.0,243.03750208036288,5.57,0.0,0.0
578135751,,5.0,188.2663546320165,5.57,0.0,0.0
578135752,,4.0,306.28977490660765,4.57,0.0,0.0
578135753,,4.0,287.3013949754685,4.57,0.0,0.0
578135754,,5.0,302.1124994919378,5.57,0.0,0.0
578135755,,4.0,268.7746831495099,4.57,0.0,0.0
578135756,,5.0,282.7521239278814,5.57,0.0,0.0
578135757,,3.0,324.37955415300337,3.5700000000000003,0.0,0.0
578135758,,3.0,361.7567002167102,3.5700000000000003,0.0,0.0
578135759,,3.0,388.12505912785616,3.5700000000000003,0.0,0.0
578135760,,4.0,498.02930959222687,4.57,0.0,0.0
578135761,,4.0,506.4273963447847,4.57,0.0,0.0
578135762,,4.0,522.9934846297315,4.57,0.0,0.0
578135764,,6.0,590.7003778611353,6.57,0.0,0.0
578135765,,3.0,474.1266451114713,3.5700000000000003,0.0,0.0
578135766,,4.0,552.950543663904,4.57,0.0,0.0
578135767,,6.0,608.4986907010624,6.57,0.0,0.0
578135773,,6.0,610.2978275317646,6.57,0.0,0.0
578135776,,6.0,606.5338101103683,6.57,0.0,0.0
578140536,,3.0,357.2339681949792,3.5700000000000003,0.0,0.0
578140540,,3.0,439.80304046374414,3.5700000000000003,0.0,0.0
578140541,,3.0,459.613787065575,3.5700000000000003,0.0,0.0
578140545,,3.0,481.3159799346853,3.5700000000000003,0.0,0.0
578140550,,3.0,451.9914242447739,3.5700000000000003,0.0,0.0
578140551,,8.0,473.48266771445407,8.57,0.0,0.0
578140552,,8.0,470.8606097844052,8.57,0.0,0.0
578140553,,4.0,459.4814344320031,4.57,0.0,0.0
