id,name,geometry,elevation_m,distance_to_coastline_m
85030193,Florida Keys Overseas Heritage Trail,"{""type"": ""LineString"", ""coordinates"": [[-81.1229744, 24.7072816], [-81.1229356, 24.7072968], [-81.1228524, 24.70727], [-81.1227866, 24.7072565], [-81.122631, 24.7072686], [-81.1223589, 24.7073138], [-81.1222582, 24.707332], [-81.1221133, 24.7073174], [-81.1220195, 24.7073222], [-81.1212228, 24.7074124], [-81.1202251, 24.7075172], [-81.1197262, 24.7075659], [-81.1196516, 24.7075836], [-81.1195438, 24.7076022], [-81.1186687, 24.7076538], [-81.11809, 24.7077449], [-81.117976, 24.7077395], [-81.1177361, 24.7077862], [-81.1176066, 24.7077855], [-81.1172757, 24.7078241], [-81.1168534, 24.7078454], [-81.1164712, 24.7078927], [-81.1160912, 24.7079256], [-81.1156939, 24.7079486], [-81.115466, 24.7079459], [-81.1152357, 24.707978], [-81.1144732, 24.7080203], [-81.1141524, 24.7080545], [-81.1139313, 24.7080917], [-81.1137186, 24.7081198], [-81.113344, 24.7081516], [-81.1128241, 24.7081948], [-81.1124362, 24.708227], [-81.1118924, 24.7082786], [-81.1114489, 24.7083137], [-81.1110078, 24.7083486], [-81.1100701, 24.7084284], [-81.1091234, 24.7085145], [-81.1087504, 24.7085586], [-81.1083814, 24.7085807], [-81.1077407, 24.7086333], [-81.1074069, 24.7086598], [-81.1073456, 24.7086664], [-81.1069127, 24.7087009], [-81.1066492, 24.708722], [-81.1066134, 24.7087252], [-81.1059183, 24.7087869], [-81.1056191, 24.7088111], [-81.1052421, 24.7088415], [-81.1046812, 24.7088948], [-81.1039575, 24.7089591], [-81.103886, 24.7089598], [-81.1036328, 24.7089762], [-81.1034794, 24.7089965], [-81.1033023, 24.7090191], [-81.1031713, 24.709039], [-81.1027055, 24.7091521], [-81.1023472, 24.7092471], [-81.1015883, 24.7094297], [-81.1007446, 24.7096691], [-81.1000168, 24.7098557], [-81.0985487, 24.7102448], [-81.0963272, 24.7108314], [-81.0960643, 24.7109008], [-81.0958825, 24.7109459], [-81.0958032, 24.7109434], [-81.0953858, 24.7110653], [-81.094863, 24.7112181], [-81.0947682, 24.7112431], [-81.0946558, 24.711274], [-81.0943916, 24.7113468], [-81.0934918, 24.711574], [-81.0932827, 24.7116283], [-81.0925684, 24.7118257], [-81.0913967, 24.7121437], [-81.0909196, 24.7122732], [-81.0908066, 24.7123126], [-81.0906968, 24.7123385], [-81.0903179, 24.7124386], [-81.088826, 24.7128325], [-81.0885903, 24.7129437], [-81.0876942, 24.7131969], [-81.087648, 24.7131939], [-81.0875724, 24.7131701], [-81.0875281, 24.7131779], [-81.0872185, 24.7132727], [-81.087088, 24.7133214], [-81.0869877, 24.7133813], [-81.0868812, 24.7134237], [-81.0867707, 24.7134559], [-81.0860371, 24.7136257], [-81.0859582, 24.7136179], [-81.0858644, 24.7136208], [-81.0854052, 24.7137351], [-81.0847583, 24.7139361], [-81.0838226, 24.7141396], [-81.0834378, 24.714255], [-81.0831725, 24.7143297], [-81.0827544, 24.7144474], [-81.082465, 24.7145289], [-81.0820015, 24.714637], [-81.0816157, 24.7147406], [-81.0810906, 24.7148859], [-81.0804208, 24.7150584], [-81.0798186, 24.7152179], [-81.0793603, 24.7153634], [-81.0790277, 24.7154553], [-81.078525, 24.7155942], [-81.0782769, 24.7156741], [-81.0780838, 24.7157521], [-81.0757937, 24.7163803], [-81.0733446, 24.7170521], [-81.0727227, 24.717202], [-81.0720927, 24.7173656], [-81.0713746, 24.7175445], [-81.070793, 24.7176956], [-81.0706854, 24.7176937], [-81.0705538, 24.7176984], [-81.0698429, 24.7178767], [-81.0687468, 24.7181444], [-81.0654667, 24.7190365], [-81.0653485, 24.7190756], [-81.0650515, 24.7191737], [-81.0647057, 24.7192879], [-81.064514, 24.7193512], [-81.0643659, 24.7194001], [-81.0640143, 24.7195398], [-81.0639237, 24.7195744], [-81.0637758, 24.7196327], [-81.0636063, 24.7196995], [-81.0633916, 24.7197842], [-81.0630082, 24.7199353], [-81.0628299, 24.7200056], [-81.0623618, 24.7202631], [-81.0597718, 24.7212721], [-81.0566775, 24.7224507], [-81.0518291, 24.7242975], [-81.050642, 24.7247729], [-81.0475453, 24.725944], [-81.0474298, 24.7259888], [-81.0473316, 24.7260154], [-81.0472139, 24.7260644], [-81.0470671, 24.726107], [-81.0469812, 24.7261423], [-81.0469219, 24.7261769], [-81.0468414, 24.7262058], [-81.0467344, 24.7262315], [-81.0466715, 24.7262452], [-81.0466335, 24.7262621], [-81.0465424, 24.7263248], [-81.0464875, 24.7263465], [-81.0463769, 24.726377], [-81.0462221, 24.7264385], [-81.0454961, 24.7267163], [-81.044924, 24.7269421], [-81.044729, 24.7270185], [-81.0436121, 24.7274445], [-81.0427481, 24.7277446], [-81.041871, 24.7279922], [-81.0411337, 24.7280997], [-81.0395393, 24.7284857], [-81.0391575, 24.7285671], [-81.0389744, 24.7285999], [-81.0379054, 24.7288137], [-81.0376262, 24.7288687], [-81.0366386, 24.7290811], [-81.0362319, 24.7291651], [-81.0359596, 24.729223], [-81.0354628, 24.7293232], [-81.0352541, 24.7293653], [-81.0348658, 24.7294436], [-81.0341047, 24.729597], [-81.0336468, 24.7296895], [-81.0313914, 24.7301584], [-81.0301243, 24.7304271]]}",5.0,202.94939203021394
11119801,,"{""type"": ""LineString"", ""coordinates"": [[-81.1246839, 24.7070685], [-81.1545697, 24.7045254], [-81.1551235, 24.7044605], [-81.1553748, 24.7044256], [-81.1556535, 24.7043743], [-81.1559918, 24.7043038], [-81.1560694, 24.7042827], [-81.156163, 24.7042585]]}",0.0,3137.0117633841965
11116855,,"{""type"": ""LineString"", ""coordinates"": [[-81.1102889, 24.6940682], [-81.1086324, 24.6940682], [-81.1047356, 24.6941306]]}",6.0,67.52824533613074
11116828,,"{""type"": ""LineString"", ""coordinates"": [[-81.1083894, 24.6929223], [-81.1085782, 24.6931718], [-81.1085267, 24.6928911], [-81.108458, 24.6917136], [-81.107943, 24.6917448], [-81.1079602, 24.6928521], [-81.1083894, 24.6929223]]}",7.0,13.900823134912331
11117352,,"{""type"": ""LineString"", ""coordinates"": [[-81.1085782, 24.6931718], [-81.1086324, 24.6940682]]}",6.0,67.52824533613074
11117755,,"{""type"": ""LineString"", ""coordinates"": [[-81.1093249, 24.6918383], [-81.1092391, 24.693203], [-81.1085782, 24.6931718]]}",7.0,23.668689342431975
11118808,,"{""type"": ""LineString"", ""coordinates"": [[-81.1243199, 24.7069513], [-81.1284518, 24.7063416]]}",0.0,380.0062743406756
11119299,Knights Key Boulevard,"{""type"": ""LineString"", ""coordinates"": [[-81.1224567, 24.7068719], [-81.1219315, 24.7069201], [-81.1209514, 24.70701], [-81.1200236, 24.7070951], [-81.1197912, 24.7071164], [-81.1197077, 24.7071241], [-81.1183905, 24.707237], [-81.1183422, 24.7072663], [-81.1183154, 24.7073345], [-81.1183183, 24.707612]]}",6.0,86.04886765524726
118775705,,"{""type"": ""LineString"", ""coordinates"": [[-81.1246528, 24.7073797], [-81.124589, 24.7073978], [-81.1244731, 24.7074124], [-81.1239122, 24.7074687], [-81.123883, 24.7074708], [-81.1235739, 24.7074932], [-81.1232303, 24.7074976], [-81.1229577, 24.7075061], [-81.1226676, 24.7074843], [-81.122258, 24.7074424], [-81.1220435, 24.7074386], [-81.1218482, 24.7074553], [-81.1214921, 24.7075027], [-81.1210568, 24.7075731], [-81.1209353, 24.7075822], [-81.1207914, 24.7075554], [-81.1205921, 24.7075607], [-81.1204151, 24.7075835], [-81.1202893, 24.7076177], [-81.1201587, 24.7076974], [-81.120062, 24.707769], [-81.1199666, 24.7078108], [-81.1198846, 24.7078152], [-81.119808, 24.7078056], [-81.1197448, 24.7077706], [-81.1197008, 24.7077167], [-81.1196705, 24.7076416], [-81.1196516, 24.7075836], [-81.1196381, 24.7075045]]}",0.0,23.329297888278116
119008720,,"{""type"": ""LineString"", ""coordinates"": [[-81.1209331, 24.7052028], [-81.1208286, 24.7055996], [-81.1207159, 24.7057549], [-81.1205174, 24.705884], [-81.1203565, 24.706057], [-81.1201982, 24.7061496], [-81.1200086, 24.7061881], [-81.119922, 24.7062057], [-81.1196403, 24.7063275], [-81.1194714, 24.7063519], [-81.119297, 24.7063178], [-81.1191736, 24.706308], [-81.1190663, 24.7063543], [-81.1189617, 24.706442], [-81.1188142, 24.7064762], [-81.1186801, 24.7065444], [-81.1186131, 24.7066345], [-81.1186077, 24.7067442], [-81.1186613, 24.7068417], [-81.118774, 24.7069001], [-81.1189027, 24.7068977], [-81.1190047, 24.7068368], [-81.1191361, 24.7067954], [-81.1193212, 24.7067832], [-81.1194928, 24.7068027], [-81.1196189, 24.7067637]]}",6.0,99.55583774713966
128504333,Overseas Highway,"{""type"": ""LineString"", ""coordinates"": [[-81.1196381, 24.7075045], [-81.1210653, 24.7073644], [-81.1229296, 24.7071473]]}",0.0,41.17156485681113
797906618,,"{""type"": ""LineString"", ""coordinates"": [[-81.1200086, 24.7061881], [-81.1199931, 24.7059738], [-81.1204812, 24.7057033], [-81.120677, 24.7053963], [-81.1205644, 24.705216], [-81.1202828, 24.705601], [-81.1198721, 24.7057831], [-81.1194808, 24.7059567], [-81.1188987, 24.7059202], [-81.118821, 24.7061638], [-81.1194969, 24.7061809], [-81.1199931, 24.7059738]]}",8.0,88.05761397765649
11119290,Kyle Way East,"{""type"": ""LineString"", ""coordinates"": [[-81.1223062, 24.7052378], [-81.1223036, 24.7052883], [-81.1224567, 24.7068719]]}",5.0,45.60808719382684
11122688,,"{""type"": ""LineString"", ""coordinates"": [[-81.1229296, 24.7071473], [-81.1229504, 24.7072326], [-81.1229572, 24.7072517], [-81.1229744, 24.7072816]]}",0.0,43.522250974667855
27826229,Kyle Way South,"{""type"": ""LineString"", ""coordinates"": [[-81.1223062, 24.7052378], [-81.1223354, 24.7051952], [-81.1223802, 24.7051616], [-81.1229095, 24.7049776], [-81.1229951, 24.7049625], [-81.1230273, 24.7049678], [-81.1230603, 24.7049733], [-81.1231214, 24.7050282], [-81.1231369, 24.705086]]}",0.0,56.10895581929567
27826234,Kyle Way West,"{""type"": ""LineString"", ""coordinates"": [[-81.1231369, 24.705086], [-81.1232915, 24.70664], [-81.1232862, 24.7067288], [-81.1232516, 24.7067859], [-81.1231765, 24.7068175], [-81.1224567, 24.7068719]]}",0.0,90.48322280525332
132683335,,"{""type"": ""LineString"", ""coordinates"": [[-81.1241615, 24.7071139], [-81.124647, 24.707072], [-81.1246839, 24.7070685]]}",0.0,12.525113964894453
132683351,,"{""type"": ""LineString"", ""coordinates"": [[-81.1229744, 24.7072816], [-81.1229985, 24.7073065], [-81.1230316, 24.7073173], [-81.1230858, 24.7073116], [-81.1235976, 24.7072032], [-81.1237718, 24.7071665], [-81.1241615, 24.7071139]]}",0.0,34.87193251144082
171582220,,"{""type"": ""LineString"", ""coordinates"": [[-81.1247331, 24.7071721], [-81.1247042, 24.7072587], [-81.1246621, 24.7073624], [-81.1246528, 24.7073797]]}",0.0,3.539941954999867
303339408,,"{""type"": ""LineString"", ""coordinates"": [[-81.1236009, 24.7049603], [-81.1234692, 24.7049722], [-81.1233635, 24.7049695], [-81.123281, 24.7049524], [-81.1232562, 24.7049417], [-81.1231927, 24.7049143], [-81.1231146, 24.704867], [-81.1230662, 24.7048491], [-81.1230291, 24.7048354], [-81.122977, 24.7047696], [-81.1229177, 24.7045645]]}",0.0,46.299431246001205
