date,max_observed_m,hours_above_threshold
2024-01-09,0.29,0
2024-01-10,0.473,0
2024-01-11,0.542,0
2024-01-12,0.501,0
2024-01-13,0.454,0
2024-01-14,0.254,0
2024-01-15,-0.008,0
2024-01-16,-0.146,0
2024-01-17,-0.088,0
2024-01-18,-0.056,0
2024-01-19,0.022,0
2024-01-20,0.157,0
2024-01-21,0.192,0
2024-01-22,0.373,0
2024-01-23,0.374,0
